"nomenclaturalstatus","scientificname","family","subgenus","genus","species","scientificNameAuthorship","namePublishedInYear","synonym(s)","corrections","date of corrections"
NA,NA,"Ctenophthalmidae","Doratopsyllinae","Doratopsylla","dampfi irana","Peus, 1977","1977",NA,NA,NA
NA,NA,"Ctenophthalmidae","Doratopsyllinae","Doratopsylla","dasycnema cuspis","Rothschild, 1915","1915","Doratopsylla bifida Yurkina, 1952",NA,NA
NA,NA,"Ctenophthalmidae","Doratopsyllinae","Doratopsylla","dasycnema dasycnema","(Rothschild, 1897)","1897","Doratopsylla fennica Nordberg, 1935; Doratopsylla dasycnema tiflov Rosicky, 1957",NA,NA
NA,NA,"Ctenophthalmidae","Doratopsyllinae","Doratopsylla","dasycnema giloti","Beaucournu, 1975","1975",NA,NA,NA
NA,NA,"Pulicidae","Pulicinae","Echidnophaga","ambulans  ambulans","Olliff, 1886","1886",NA,NA,NA
NA,NA,"Pulicidae","Pulicinae","Echidnophaga","ambulans inepta","M. Rothschild, 1936","1936",NA,NA,NA
NA,NA,"Pulicidae","Spilopsyllinae","Eospilopsyllus","kobberti (Fossil)","Beaucournu & Perrichot, 2012","2012",NA,NA,NA
NA,NA,"Pulicidae","Spilopsyllinae","Euhoplopsyllus","glacialis affinis","(Baker, 1904)","1904",NA,NA,NA
NA,NA,"Pulicidae","Spilopsyllinae","Euhoplopsyllus","glacialis exoticus","(Jordan & Rothschild, 1923)","1923",NA,NA,NA
NA,NA,"Pulicidae","Spilopsyllinae","Euhoplopsyllus","glacialis foxi","(Ewing, 1924)","1924","Hoplopsyllus minutus C. Fox, 1926; Hoplopsyllus powersi C. Fox, 1926; Hoplopsyllus tenuidigitus Stewart, 1940",NA,NA
NA,NA,"Pulicidae","Spilopsyllinae","Euhoplopsyllus","glacialis glacialis","(Taschenberg, 1880)","1880",NA,NA,NA
NA,NA,"Pulicidae","Spilopsyllinae","Euhoplopsyllus","glacialis lynx","(Baker, 1904)","1904",NA,NA,NA
NA,NA,"Pulicidae","Spilopsyllinae","Euhoplopsyllus","glacialis profugus","(Jordan, 1925)","1925","Hoplopsyllus glacialis asiaticus Wang & Liao, 1961",NA,NA
NA,NA,"Leptopsyllidae","Amphipsyllinae","Frontopsylla","elata botis","Jordan, 1929","1929",NA,NA,NA
NA,NA,"Leptopsyllidae","Amphipsyllinae","Frontopsylla","elata caucasica","Ioff & Argyropulo, 1934","1934",NA,NA,NA
NA,NA,"Leptopsyllidae","Amphipsyllinae","Frontopsylla","elata elata","(Jordan & Rothschild, 1915)","1915",NA,NA,NA
NA,NA,"Leptopsyllidae","Amphipsyllinae","Frontopsylla","elata glabra","Ioff, 1946","1946",NA,NA,NA
NA,NA,"Leptopsyllidae","Amphipsyllinae","Frontopsylla","elata humida","Tiflov, 1937","1937",NA,NA,NA
NA,NA,"Leptopsyllidae","Amphipsyllinae","Frontopsylla","elata koksu","Ioff, 1946","1946",NA,NA,NA
NA,NA,"Leptopsyllidae","Amphipsyllinae","Frontopsylla","elata neutra","Mikulin, 1957","1957",NA,NA,NA
NA,NA,"Leptopsyllidae","Amphipsyllinae","Frontopsylla","elata pilosa","Ioff, 1946","1946",NA,NA,NA
NA,NA,"Leptopsyllidae","Amphipsyllinae","Frontopsylla","elata popovi","Lebedev, 1953","1953",NA,NA,NA
NA,NA,"Leptopsyllidae","Amphipsyllinae","Frontopsylla","elata taishiri","Emel'yanova, 1950","1950",NA,NA,NA
NA,NA,"Leptopsyllidae","Amphipsyllinae","Frontopsylla","elata vara","Mikulin, 1960","1960",NA,NA,NA
NA,NA,"Leptopsyllidae","Amphipsyllinae","Frontopsylla","elatoides elatoides","Wagner, 1928","1928",NA,NA,NA
NA,NA,"Leptopsyllidae","Amphipsyllinae","Frontopsylla","elatoides intermedia","Cai, Wu & Zhang, 1987","1987",NA,NA,NA
NA,NA,"Leptopsyllidae","Amphipsyllinae","Frontopsylla","elatoides longa","Mikulin, 1958","1958",NA,NA,NA
NA,NA,"Leptopsyllidae","Amphipsyllinae","Frontopsylla","elatoides orthodigitus","Murzakhmetova, 1969","1969",NA,NA,NA
NA,NA,"Leptopsyllidae","Amphipsyllinae","Frontopsylla","exilidigita exilidigita","Liu, Wu & Chang, 1974","1974",NA,NA,NA
NA,NA,"Leptopsyllidae","Amphipsyllinae","Frontopsylla","exilidigita tiebuensis","Chen, Wei & Liu, 1986","1986",NA,NA,NA
NA,NA,"Leptopsyllidae","Amphipsyllinae","Frontopsylla","frontalis alatau","Fedina, 1946","1946",NA,NA,NA
NA,NA,"Leptopsyllidae","Amphipsyllinae","Frontopsylla","frontalis baibacina","Ji, 1979","1979",NA,NA,NA
NA,NA,"Leptopsyllidae","Amphipsyllinae","Frontopsylla","frontalis baikal","Ioff, 1946","1946","Frontopsylla frontalis utia Ji, 1979",NA,NA
NA,NA,"Leptopsyllidae","Amphipsyllinae","Frontopsylla","frontalis dubiosa","Ioff, 1946","1946",NA,NA,NA
NA,NA,"Leptopsyllidae","Amphipsyllinae","Frontopsylla","frontalis frontalis","(Rothschild, 1908)","1908",NA,NA,NA
NA,NA,"Leptopsyllidae","Amphipsyllinae","Frontopsylla","frontalis gud","Argyropulo, 1935","1935",NA,NA,NA
NA,NA,"Leptopsyllidae","Amphipsyllinae","Frontopsylla","frontalis postcurva","Liu, Wu & Wu, 1983","1983",NA,NA,NA
NA,NA,"Leptopsyllidae","Amphipsyllinae","Frontopsylla","nakagawai borealosinica","Liu, Wu & Chang, 1986","1986",NA,NA,NA
NA,NA,"Leptopsyllidae","Amphipsyllinae","Frontopsylla","nakagawai nakagawai","Kumada & Sakaguti, 1959","1959",NA,NA,NA
NA,NA,"Leptopsyllidae","Amphipsyllinae","Frontopsylla","nakagawai qinghaiensis","Liu, Cai & Pan, 1986","1986",NA,NA,NA
NA,NA,"Leptopsyllidae","Amphipsyllinae","Frontopsylla","nakagawai taiwanensis","Jameson & Hsieh, 1966","1966",NA,NA,NA
NA,NA,"Leptopsyllidae","Amphipsyllinae","Frontopsylla","spadix borealosichuana","Liu & Zhai, 1986","1986",NA,NA,NA
NA,NA,"Leptopsyllidae","Amphipsyllinae","Frontopsylla","spadix nepalensis","Brelih, 1975","1975",NA,NA,NA
NA,NA,"Leptopsyllidae","Amphipsyllinae","Frontopsylla","spadix shennongjiaensis","Ji, Chen & Liu, 1986","1986",NA,NA,NA
NA,NA,"Leptopsyllidae","Amphipsyllinae","Frontopsylla","spadix spadix","(Jordan & Rothschild, 1921)","1921","Frontopsylla spadix cansa Jordan, 1932",NA,NA
NA,NA,"Leptopsyllidae","Amphipsyllinae","Frontopsylla","wagneri superjecta","Zhang, Liu & Zhang, 1986","1986",NA,NA,NA
NA,NA,"Leptopsyllidae","Amphipsyllinae","Frontopsylla","wagneri wagneri","Ioff, 1928","1928","Frontopsylla mongolica Cyprich, Kiefe & Cendsuren, 1977",NA,NA
NA,NA,"Rhopalopsyllidae","Rhopalopsyllinae","Gephyropsylla","klagesi klagesi","(Rothschild, 1904)","1904",NA,NA,NA
NA,NA,"Rhopalopsyllidae","Rhopalopsyllinae","Gephyropsylla","klagesi rangeli","Smit, 1987","1987",NA,NA,NA
NA,NA,"Rhopalopsyllidae","Rhopalopsyllinae","Gephyropsylla","klagesi samuelis","(Jordan & Rothschild, 1923)","1923",NA,NA,NA
NA,NA,"Leptopsyllidae","Amphipsyllinae","Geusibia","apromina apromina","Liu, Cai & Wu, 1980","1980",NA,NA,NA
NA,NA,"Leptopsyllidae","Amphipsyllinae","Geusibia","apromina sichuanensis","Liu, Zhai & Liu, 1986","1986",NA,NA,NA
NA,NA,"Leptopsyllidae","Amphipsyllinae","Geusibia","apromina xizangensis","Liu, Gao & Liu, 1982","1982",NA,NA,NA
NA,NA,"Leptopsyllidae","Amphipsyllinae","Geusibia","minutiprominula minutiprominuta","Zhang & Liu, 1984","1984",NA,NA,NA
NA,NA,"Leptopsyllidae","Amphipsyllinae","Geusibia","minutiprominula ningshanensis","Zhang & Liu, 1984","1984",NA,NA,NA
NA,NA,"Leptopsyllidae","Amphipsyllinae","Hopkinsipsylla","occulta occulta","Traub, 1963","1963",NA,NA,NA
NA,NA,"Leptopsyllidae","Amphipsyllinae","Hopkinsipsylla","occulta praeceps","Traub, 1965","1965",NA,NA,NA
NA,NA,"Hystrichopsyllidae","Hystrichopsyllinae","Hystrichopsylla","dippiei dippiei","Rothschild, 1902","1902",NA,NA,NA
NA,NA,"Hystrichopsyllidae","Hystrichopsyllinae","Hystrichopsylla","dippiei neotomae","Holland, 1957","1957",NA,NA,NA
NA,NA,"Hystrichopsyllidae","Hystrichopsyllinae","Hystrichopsylla","dippiei obliqua","Hastriter & Haas, 2005","2005",NA,NA,NA
NA,NA,"Hystrichopsyllidae","Hystrichopsyllinae","Hystrichopsylla","dippiei spinata","Holland, 1949","1949",NA,NA,NA
NA,NA,"Hystrichopsyllidae","Hystrichopsyllinae","Hystrichopsylla","dippiei truncata","Holland, 1957","1957",NA,NA,NA
NA,NA,"Hystrichopsyllidae","Hystrichopsyllinae","Hystrichopsylla","occidentalis linsdalei","Holland, 1957","1957",NA,NA,NA
NA,NA,"Hystrichopsyllidae","Hystrichopsyllinae","Hystrichopsylla","occidentalis occidentalis","Holland, 1949","1949",NA,NA,NA
NA,NA,"Hystrichopsyllidae","Hystrichopsyllinae","Hystrichopsylla","occidentalis sylvaticus","Campos & Stark, 1979","1979",NA,NA,NA
NA,NA,"Hystrichopsyllidae","Hystrichopsyllinae","Hystrichopsylla","orientalis guentheri","Peus, 1977","1977",NA,NA,NA
NA,NA,"Hystrichopsyllidae","Hystrichopsyllinae","Hystrichopsylla","orientalis orientalis","Smit, 1956","1956",NA,NA,NA
NA,NA,"Hystrichopsyllidae","Hystrichopsyllinae","Hystrichopsylla","talpae alpina","Beaucournu & Launay, 1979","1979",NA,NA,NA
NA,NA,"Hystrichopsyllidae","Hystrichopsyllinae","Hystrichopsylla","talpae ibera","Beaucournu & Launay, 1979","1979",NA,NA,NA
NA,NA,"Hystrichopsyllidae","Hystrichopsyllinae","Hystrichopsylla","talpae istrica","Beaucournu, Launay & Mahnert, 1982","1982",NA,NA,NA
NA,NA,"Hystrichopsyllidae","Hystrichopsyllinae","Hystrichopsylla","talpae riouxi","Beaucournu & Rosin, 1977","1977",NA,NA,NA
NA,NA,"Hystrichopsyllidae","Hystrichopsyllinae","Hystrichopsylla","talpae talpae","(Curtis, 1826)","1826","Hystrichopsylla narbeli Galli-Valerio, 1900; Pulex obtusiceps Ritsema, 1968; Pulex terrestris Macquart, 1831",NA,NA
NA,NA,"Hystrichopsyllidae","Hystrichopsyllinae","Hystrichopsylla","talpae transalpina","Beaucournu, Launay & Valle, 1982","1982",NA,NA,NA
NA,NA,"Hystrichopsyllidae","Hystrichopsyllinae","Hystrichopsylla","weida qinlingensis","Zhang, Wu & Liu, 1984","1984",NA,NA,NA
NA,NA,"Hystrichopsyllidae","Hystrichopsyllinae","Hystrichopsylla","weida uimmamemsos","Xie & Gong, 1979","1979",NA,NA,NA
NA,NA,"Hystrichopsyllidae","Hystrichopsyllinae","Hystrichopsylla","weida weida","Jameson & Hsieh, 1967","1967",NA,NA,NA
NA,NA,"Ischnopsyllidae","Ischnopsyllinae","Ischnopsyllus","simplex mysticus","Jordan, 1942","1942",NA,NA,NA
NA,NA,"Ischnopsyllidae","Ischnopsyllinae","Ischnopsyllus","simplex simplex","Rothschild, 1906","1906",NA,NA,NA
NA,NA,"Ceratophyllidae","Ceratophyllinae","Jellisonia","breviloba barrerai","Hastriter, 2004","2004",NA,NA,NA
NA,NA,"Ceratophyllidae","Ceratophyllinae","Jellisonia","breviloba breviloba","Traub, 1950","1950",NA,NA,NA
NA,NA,"Ceratophyllidae","Ceratophyllinae","Kohlsia","graphis erana","Traub, 1950","1950",NA,NA,NA
NA,NA,"Ceratophyllidae","Ceratophyllinae","Kohlsia","graphis graphis","(Rothschild, 1909)","1909",NA,NA,NA
NA,NA,"Ischnopsyllidae","Ischnopsyllinae","Lagaropsylla","mera australiaca","Beaucournu & Kock, 1994","1994",NA,NA,NA
NA,NA,"Ischnopsyllidae","Ischnopsyllinae","Lagaropsylla","mera mera","Jordan & Rothschild, 1921","1921",NA,NA,NA
NA,NA,"Leptopsyllidae","Leptopsyllinae","Leptopsylla","aethiopica aethiopica","(Rothschild, 1908)","1908",NA,NA,NA
NA,NA,"Leptopsyllidae","Leptopsyllinae","Leptopsylla","aethiopica nakuruensis","Smit, 1951","1951",NA,NA,NA
NA,NA,"Leptopsyllidae","Leptopsyllinae","Leptopsylla","aethiopica thalia","DeMeillon, 1949","1949",NA,NA,NA
NA,NA,"Leptopsyllidae","Leptopsyllinae","Leptopsylla","algira agadirensis","Hastriter & Tipton, 1975","1975",NA,NA,NA
NA,NA,"Leptopsyllidae","Leptopsyllinae","Leptopsylla","algira algira","Jordan & Rothschild, 1912","1912",NA,NA,NA
NA,NA,"Leptopsyllidae","Leptopsyllinae","Leptopsylla","algira atlantidis","Beaucournu, 1993","1993",NA,NA,NA
NA,NA,"Leptopsyllidae","Leptopsyllinae","Leptopsylla","algira costai","Smit, 1955","1955",NA,NA,NA
NA,NA,"Leptopsyllidae","Leptopsyllinae","Leptopsylla","algira maroccana","Grenier, 1957","1957",NA,NA,NA
NA,NA,"Leptopsyllidae","Leptopsyllinae","Leptopsylla","algira popovi","(Wagner & Argyropulo, 1934)","1934",NA,NA,NA
NA,NA,"Leptopsyllidae","Leptopsyllinae","Leptopsylla","algira scopolii","Brelih & Petrov, 1979","1979",NA,NA,NA
NA,NA,"Leptopsyllidae","Leptopsyllinae","Leptopsylla","algira serveti","Beaucournu & Launay, 1978","1978",NA,NA,NA
NA,NA,"Leptopsyllidae","Leptopsyllinae","Leptopsylla","algira tuggertensis","Smit, 1951","1951",NA,NA,NA
NA,NA,"Leptopsyllidae","Leptopsyllinae","Leptopsylla","algira vogeli","Beaucournu, 1990","1990",NA,NA,NA
NA,NA,"Leptopsyllidae","Leptopsyllinae","Leptopsylla","pectiniceps pectiniceps","(Wagner, 1893)","1893","Pectinoctenus adalis Jordan, 1929",NA,NA
NA,NA,"Leptopsyllidae","Leptopsyllinae","Leptopsylla","pectiniceps ventrisinulata","Chen, Zhang & Liu, 1984","1984",NA,NA,NA
NA,NA,"Leptopsyllidae","Leptopsyllinae","Leptopsylla","taschenbergi amitina","Jordan & Rothschild, 1914","1914",NA,NA,NA
NA,NA,"Leptopsyllidae","Leptopsyllinae","Leptopsylla","taschenbergi calamana","Jordan, 1951","1951",NA,NA,NA
NA,NA,"Leptopsyllidae","Leptopsyllinae","Leptopsylla","taschenbergi cressida","Peus, 1954","1954",NA,NA,NA
NA,NA,"Leptopsyllidae","Leptopsyllinae","Leptopsylla","taschenbergi taschenbergi","(Wagner, 1898)","1898",NA,NA,NA
NA,NA,"Ctenophthalmidae","Listropsyllinae","Listropsylla","cerrita cerrita","Jordan, 1930","1930",NA,NA,NA
NA,NA,"Ctenophthalmidae","Listropsyllinae","Listropsylla","cerrita juliae","Haeselbarth, 1963","1963",NA,NA,NA
NA,NA,"Ctenophthalmidae","Listropsyllinae","Listropsylla","chelura chelura","Rothschild, 1913","1913",NA,NA,NA
NA,NA,"Ctenophthalmidae","Listropsyllinae","Listropsylla","clelura allticola","Haeselbarth, 1963","1963",NA,NA,NA
NA,NA,"Ctenophthalmidae","Listropsyllinae","Listropsylla","dolosa basilewskyi","Smit, 1960","1960",NA,NA,NA
NA,NA,"Ctenophthalmidae","Listropsyllinae","Listropsylla","dolosa dolosa","Rothschild, 1907","1907","Ceratophyllus stygius Rothschild, 1908",NA,NA
NA,NA,"Ceratophyllidae","Ceratophyllinae","Macrostylophora","bispiniforma bispiniforma","Li, Hsieh & Yang, 1976","1976",NA,NA,NA
NA,NA,"Ceratophyllidae","Ceratophyllinae","Macrostylophora","bispiniforma gongshanensis","Gong & Xie, 1990","1990",NA,NA,NA
NA,NA,"Ceratophyllidae","Ceratophyllinae","Macrostylophora","hastata hainanensis","Liu & Pan, 1986","1986",NA,NA,NA
NA,NA,"Ceratophyllidae","Ceratophyllinae","Macrostylophora","hastata hastata","(Jordan & Rothschild, 1921)","1921",NA,NA,NA
NA,NA,"Ceratophyllidae","Ceratophyllinae","Macrostylophora","hastata malayensis","Traub, 1950","1950",NA,NA,NA
NA,NA,"Ceratophyllidae","Ceratophyllinae","Macrostylophora","hastata menghaiensis","Li, Wang & Hsieh, 1964","1964","Macrostylophora hastata yunnanica Liu, 1965",NA,NA
NA,NA,"Ceratophyllidae","Ceratophyllinae","Macrostylophora","hastata nepali","Traub, 1950","1950",NA,NA,NA
NA,NA,"Ceratophyllidae","Ceratophyllinae","Macrostylophora","hastata sikkimensis","(Jordan & Rothschild, 1922)","1922",NA,NA,NA
NA,NA,"Ceratophyllidae","Ceratophyllinae","Macrostylophora","hebeiensis hebeiensis","Liu, Wu & Chang, 1979","1979",NA,NA,NA
NA,NA,"Ceratophyllidae","Ceratophyllinae","Macrostylophora","hebeiensis shennongjiaensis","Liu & Ma, 1999","1999",NA,NA,NA
NA,NA,"Ceratophyllidae","Ceratophyllinae","Macrostylophora","lupata bamana","Jordan, 1939","1939",NA,NA,NA
NA,NA,"Ceratophyllidae","Ceratophyllinae","Macrostylophora","lupata lupata","(Jordan & Rothschild, 1921)","1921",NA,NA,NA
NA,NA,"Stivaliidae",NA,"Medwayella","phangi phangi","Traub, 1972","1972",NA,NA,NA
NA,NA,"Stivaliidae",NA,"Medwayella","phangi tana","Traub, 1972","1972",NA,NA,NA
NA,NA,"Stivaliidae",NA,"Medwayella","robinsoni bogora","Traub, 1972","1972",NA,NA,NA
NA,NA,"Stivaliidae",NA,"Medwayella","robinsoni peregrinata","Traub, 1972","1972",NA,NA,NA
NA,NA,"Stivaliidae",NA,"Medwayella","robinsoni robinsoni","(Rothschild, 1905)","1905",NA,NA,NA
NA,NA,"Stivaliidae",NA,"Medwayella","robinsoni tiomanica","Traub, 1972","1972",NA,NA,NA
NA,NA,"Ceratophyllidae","Ceratophyllinae","Megabothris","advenarius advenarius","(Wagner, 1930)","1930","Ceratophyllus advenarius bifallax Ioff & Scalon, 1950",NA,NA
NA,NA,"Ceratophyllidae","Ceratophyllinae","Megabothris","advenarius mantchuricus","Dou & Ji, 1979","1979",NA,NA,NA
NA,NA,"Ceratophyllidae","Ceratophyllinae","Megabothris","asio asio","(Baker, 1904)","1904",NA,NA,NA
NA,NA,"Ceratophyllidae","Ceratophyllinae","Megabothris","asio gregsoni","Holland, 1950","1950",NA,NA,NA
NA,NA,"Ceratophyllidae","Ceratophyllinae","Megabothris","asio megacolpus","(Jordan, 1929)","1929","Megabothris asio orectus Jordan, 1938",NA,NA
NA,NA,"Leptopsyllidae","Amphipsyllinae","Mesopsylla","eucta afghan","Jordan, 1944","1944",NA,NA,NA
NA,NA,"Leptopsyllidae","Amphipsyllinae","Mesopsylla","eucta eucta","Dampf, 1910","1910",NA,NA,NA
NA,NA,"Leptopsyllidae","Amphipsyllinae","Mesopsylla","eucta kochkor","Ioff, 1950","1950",NA,NA,NA
NA,NA,"Leptopsyllidae","Amphipsyllinae","Mesopsylla","eucta shikho","Ioff, 1950","1950",NA,NA,NA
NA,NA,"Leptopsyllidae","Amphipsyllinae","Mesopsylla","eucta sima","Mikulin, 1960","1960",NA,NA,NA
NA,NA,"Leptopsyllidae","Amphipsyllinae","Mesopsylla","hebes clara","Smit, 1980","1980",NA,NA,NA
NA,NA,"Leptopsyllidae","Amphipsyllinae","Mesopsylla","hebes dampfi","Wagner & Ioff, 1926","1926",NA,NA,NA
NA,NA,"Leptopsyllidae","Amphipsyllinae","Mesopsylla","hebes hebes","Jordan & Rothschild, 1915","1915",NA,NA,NA
NA,NA,"Leptopsyllidae","Amphipsyllinae","Mesopsylla","hebes septentrionalis","Wagner, 1926","1926",NA,NA,NA
NA,NA,"Leptopsyllidae","Amphipsyllinae","Mesopsylla","tuschkan andruschkoi","Argyropulo, 1946","1946",NA,NA,NA
NA,NA,"Leptopsyllidae","Amphipsyllinae","Mesopsylla","tuschkan mesa","Argyropulo, 1946","1946",NA,NA,NA
NA,NA,"Leptopsyllidae","Amphipsyllinae","Mesopsylla","tuschkan propinacta","Traub & Evans, 1967","1967",NA,NA,NA
NA,NA,"Leptopsyllidae","Amphipsyllinae","Mesopsylla","tuschkan tuschkan","Wagner & Ioff, 1926","1926",NA,NA,NA
NA,NA,"Ceratophyllidae","Ceratophyllinae","Mioctenopsylla","traubi kurilensis","Violovich, 1961","1961",NA,NA,NA
NA,NA,"Ceratophyllidae","Ceratophyllinae","Mioctenopsylla","traubi traubi","Holland & Jellison, 1952","1952",NA,NA,NA
NA,NA,"Ceratophyllidae","Ceratophyllinae","Monopsyllus","sciurorum asiaticus","Ioff, 1936","1936","Ceratophyllus sciurorum affinis Yurkina, 1961; Monopsyllus sciurorum cophinus Jordan, 1944",NA,NA
NA,NA,"Ceratophyllidae","Ceratophyllinae","Monopsyllus","sciurorum sciurorum","(Schrank, 1803)","1803","Monopsyllus sciurorum bolivari Gil Collado, 1948; Ceratophyllus sciurorum var. dryas Wagner, 1898; Ceratophyllus palumbi Dale, 1878; Ceratophyllus sciuri Kolenati, 1856",NA,NA
NA,NA,"Ischnopsyllidae","Ischnopsyllinae","Myodopsylla","wolffsohni salvasis","Jordan, 1931","1931",NA,NA,NA
NA,NA,"Ischnopsyllidae","Ischnopsyllinae","Myodopsylla","wolffsohni wolffsohni","(Rothschild, 1903)","1903","Myodopsylla notialis Jordan, 1937",NA,NA
NA,NA,"Ctenophthalmidae","Rhadinopsyllinae","Nearctopsylla","genalis genalis","(Baker, 1904)","1904","Nearctopsylla hygini laurentia Jordan & Rothschild, 1923",NA,NA
NA,NA,"Ctenophthalmidae","Rhadinopsyllinae","Nearctopsylla","genalis hygini","(Rothschild, 1904)","1904",NA,NA,NA
NA,NA,"Ctenophthalmidae","Neopsyllinae","Neopsylla","affinis affinis","Li & Hsieh, 1964","1964",NA,NA,NA
NA,NA,"Ctenophthalmidae","Neopsyllinae","Neopsylla","biseta bijiangensis","Xie, Fang & Hu, 1991","1991",NA,NA,NA
NA,NA,"Ctenophthalmidae","Neopsyllinae","Neopsylla","biseta biseta","Li & Hsieh, 1964","1964",NA,NA,NA
NA,NA,"Ctenophthalmidae","Neopsyllinae","Neopsylla","biseta elesina","Li, 1980","1980",NA,NA,NA
NA,NA,"Ctenophthalmidae","Neopsyllinae","Neopsylla","dispar dispar","Jordan, 1932","1932",NA,NA,NA
NA,NA,"Ctenophthalmidae","Neopsyllinae","Neopsylla","dispar fukienensis","Chao, 1947","1947",NA,NA,NA
NA,NA,"Ctenophthalmidae","Neopsyllinae","Neopsylla","pleskei ariana","Ioff, 1946","1946",NA,NA,NA
NA,NA,"Ctenophthalmidae","Neopsyllinae","Neopsylla","pleskei armeniaca","Ioff & Argyropulo, 1934","1934",NA,NA,NA
NA,NA,"Ctenophthalmidae","Neopsyllinae","Neopsylla","pleskei caucasica","Goncharov & Sadekova, 1966","1966",NA,NA,NA
NA,NA,"Ctenophthalmidae","Neopsyllinae","Neopsylla","pleskei orientalis","Ioff & Argyropulo, 1934","1934",NA,NA,NA
NA,NA,"Ctenophthalmidae","Neopsyllinae","Neopsylla","pleskei pleskei","Ioff, 1928","1928",NA,NA,NA
NA,NA,"Ctenophthalmidae","Neopsyllinae","Neopsylla","pleskei rossica","Ioff & Argyropulo, 1934","1934",NA,NA,NA
NA,NA,"Ctenophthalmidae","Neopsyllinae","Neopsylla","secura kashmirensis","Kulkarni & Bhat, 1972","1972",NA,NA,NA
NA,NA,"Ctenophthalmidae","Neopsyllinae","Neopsylla","secura secura","Rothschild, 1915","1915",NA,NA,NA
NA,NA,"Ctenophthalmidae","Neopsyllinae","Neopsylla","secura separata","Smit, 1975","1975",NA,NA,NA
NA,NA,"Ctenophthalmidae","Neopsyllinae","Neopsylla","setosa setosa","(Wagner, 1898)","1898",NA,NA,NA
NA,NA,"Ctenophthalmidae","Neopsyllinae","Neopsylla","setosa spinea","Rothschild, 1915","1915","Neopsylla setosa hajastanica Ioff & Argyropulo, 1934; Neopsylla setosa moravica Rosicky, 1956",NA,NA
NA,NA,"Ctenophthalmidae","Neopsyllinae","Neopsylla","specialis dechingensis","Hsieh & Yang, 1974","1974",NA,NA,NA
NA,NA,"Ctenophthalmidae","Neopsyllinae","Neopsylla","specialis minpiensis","Li & Wang, 1964","1964",NA,NA,NA
NA,NA,"Ctenophthalmidae","Neopsyllinae","Neopsylla","specialis schismatosa","Li, 1980","1980",NA,NA,NA
NA,NA,"Ctenophthalmidae","Neopsyllinae","Neopsylla","specialis sichuanxizangensis","Wu & Wang, 1982","1982","Neopsylla specialis chunizangensis Wu & Chen, 1982",NA,NA
NA,NA,"Ctenophthalmidae","Neopsyllinae","Neopsylla","specialis specialis","Jordan, 1932","1932","Neopsylla specialis kweiyangensis Li, 1964",NA,NA
NA,NA,"Ctenophthalmidae","Neopsyllinae","Neopsylla","stevensi sichuanyunnana","Wu & Wang, 1982","1982",NA,NA,NA
NA,NA,"Ctenophthalmidae","Neopsyllinae","Neopsylla","stevensi stevensi","Rothschild, 1915","1915","Neopsylla marleaneae Lewis 1971",NA,NA
NA,NA,"Ctenophthalmidae","Neopsyllinae","Neopsylla","teratura montana","Goncharov, 1966","1966",NA,NA,NA
NA,NA,"Ctenophthalmidae","Neopsyllinae","Neopsylla","teratura rhagesia","Klein, 1963","1963",NA,NA,NA
NA,NA,"Ctenophthalmidae","Neopsyllinae","Neopsylla","teratura teratura","Rothschild, 1913","1913",NA,NA,NA
NA,NA,"Ctenophthalmidae","Ctenophthalminae","Neotyphloceras","crassispina crassispina","Rothschild, 1914","1914",NA,NA,NA
NA,NA,"Ctenophthalmidae","Ctenophthalminae","Neotyphloceras","crassispina hemisis","Jordan, 1936","1936",NA,NA,NA
NA,NA,"Ceratophyllidae","Ceratophyllinae","Nosopsyllus","aralis aralis","(Argyropulo, 1946)","1946",NA,NA,NA
NA,NA,"Ceratophyllidae","Ceratophyllinae","Nosopsyllus","aralis tschu","(Schiranovich, 1946)","1946",NA,NA,NA
NA,NA,"Ceratophyllidae","Ceratophyllinae","Nosopsyllus","elongatus elongatus","Li & Shen, 1963","1963",NA,NA,NA
NA,NA,"Ceratophyllidae","Ceratophyllinae","Nosopsyllus","elongatus longchuanensis","Li, Xie & Wu, 1990","1990",NA,NA,NA
NA,NA,"Ceratophyllidae","Ceratophyllinae","Nosopsyllus","elongatus puerensis","Li, Xie & Yu, 1990","1990",NA,NA,NA
NA,NA,"Ceratophyllidae","Ceratophyllinae","Nosopsyllus","elongatus yanshanensis","Li, Xie & Liao, 1990","1990",NA,NA,NA
NA,NA,"Ceratophyllidae","Ceratophyllinae","Nosopsyllus","henleyi henleyi","(Rothschild, 1904)","1904",NA,NA,NA
NA,NA,"Ceratophyllidae","Ceratophyllinae","Nosopsyllus","henleyi israelicus","Smit, 1960","1960",NA,NA,NA
NA,NA,"Ceratophyllidae","Ceratophyllinae","Nosopsyllus","henleyi mauritanicus","(Jordan & Rothschild, 1912)","1912",NA,NA,NA
NA,NA,"Ceratophyllidae","Ceratophyllinae","Nosopsyllus","incisus incisus","(Jordan & Rothschild, 1913)","1913",NA,NA,NA
NA,NA,"Ceratophyllidae","Ceratophyllinae","Nosopsyllus","incisus lewisi","Beaucournu & Laudisoit, 2012","2012",NA,NA,NA
NA,NA,"Ceratophyllidae","Ceratophyllinae","Nosopsyllus","incisus traubi","Beaucournu & Laudisoit, 2012","2012",NA,NA,NA
NA,NA,"Ceratophyllidae","Ceratophyllinae","Nosopsyllus","iranus angorensis","Aktas, 1999","1999",NA,NA,NA
